=== allergies ===
created_at  |  timestamp without time zone  |  nullable=YES  |  default=None
specialty  |  character varying  |  nullable=YES  |  default=None
license_number  |  character varying  |  nullable=NO  |  default=None
qualification  |  character varying  |  nullable=YES  |  default=None
experience_years  |  integer  |  nullable=YES  |  default=None
gender  |  character varying  |  nullable=YES  |  default=None
availability_days  |  character varying  |  nullable=YES  |  default=None
start_time  |  time without time zone  |  nullable=YES  |  default=None
end_time  |  time without time zone  |  nullable=YES  |  default=None
mode_of_consultation  |  character varying  |  nullable=YES  |  default=None
status  |  character varying  |  nullable=YES  |  default=None
license_url  |  character varying  |  nullable=YES  |  default=None
license_document  |  character varying  |  nullable=YES  |  default=None
public_id  |  character varying  |  nullable=YES  |  default=None

=== encounters ===
created_at  |  timestamp without time zone  |  nullable=YES  |  default=None
updated_at  |  timestamp without time zone  |  nullable=YES  |  default=None
id  |  integer  |  nullable=NO  |  default=nextval('encounters_id_seq'::regclass)
patient_id  |  integer  |  nullable=NO  |  default=None       
doctor_id  |  integer  |  nullable=YES  |  default=None       
hospital_id  |  integer  |  nullable=YES  |  default=None     
encounter_date  |  date  |  nullable=NO  |  default=None      
encounter_type  |  character varying  |  nullable=NO  |  default=None
reason_for_visit  |  character varying  |  nullable=YES  |  default=None
diagnosis  |  text  |  nullable=YES  |  default=None
notes  |  text  |  nullable=YES  |  default=None
follow_up_date  |  date  |  nullable=YES  |  default=None     
status  |  character varying  |  nullable=YES  |  default=None
is_lab_test_required  |  boolean  |  nullable=NO  |  default=false
patient_public_id  |  character varying  |  nullable=NO  |  default=''::character varying

=== hospitals ===
created_at  |  timestamp without time zone  |  nullable=YES  |  default=None
updated_at  |  timestamp without time zone  |  nullable=YES  |  default=None
id  |  integer  |  nullable=NO  |  default=nextval('hospitals_id_seq'::regclass)
name  |  character varying  |  nullable=NO  |  default=None   
registration_no  |  character varying  |  nullable=YES  |  default=None
email  |  character varying  |  nullable=NO  |  default=None  
phone  |  character varying  |  nullable=NO  |  default=None  
address  |  text  |  nullable=YES  |  default=None
city  |  character varying  |  nullable=YES  |  default=None  
state  |  character varying  |  nullable=YES  |  default=None 
zip_code  |  character varying  |  nullable=YES  |  default=None
country  |  character varying  |  nullable=YES  |  default=None
specialty  |  character varying  |  nullable=YES  |  default=None
license_number  |  character varying  |  nullable=NO  |  default=None
experience_years  |  integer  |  nullable=YES  |  default=None
availability_days  |  character varying  |  nullable=YES  |  default=None
start_time  |  time without time zone  |  nullable=YES  |  default=None
end_time  |  time without time zone  |  nullable=YES  |  default=None
consultation_fee  |  numeric  |  nullable=YES  |  default=None
website  |  character varying  |  nullable=YES  |  default=None
status  |  character varying  |  nullable=YES  |  default=None
logo_url  |  character varying  |  nullable=YES  |  default=None
registration_certificate  |  character varying  |  nullable=YES  |  default=None

=== insurance_master ===
id  |  integer  |  nullable=NO  |  default=nextval('insurance_master_id_seq'::regclass)
provider_name  |  character varying  |  nullable=NO  |  default=None
plan_name  |  character varying  |  nullable=NO  |  default=None
plan_type  |  character varying  |  nullable=YES  |  default=None
coverage_percent  |  double precision  |  nullable=YES  |  default=None
copay_amount  |  double precision  |  nullable=YES  |  default=None
deductible_amount  |  double precision  |  nullable=YES  |  default=None
out_of_pocket_max  |  double precision  |  nullable=YES  |  default=None
effective_date  |  date  |  nullable=YES  |  default=None     
expiry_date  |  date  |  nullable=YES  |  default=None        
description  |  text  |  nullable=YES  |  default=None        
status  |  character varying  |  nullable=YES  |  default=None
created_at  |  timestamp with time zone  |  nullable=YES  |  default=now()

=== lab_master ===
id  |  integer  |  nullable=NO  |  default=nextval('lab_master_id_seq'::regclass)
test_code  |  character varying  |  nullable=NO  |  default=None
test_name  |  character varying  |  nullable=NO  |  default=None
description  |  text  |  nullable=YES  |  default=None        
sample_type  |  character varying  |  nullable=YES  |  default=None
method  |  character varying  |  nullable=YES  |  default=None
reference_range  |  character varying  |  nullable=YES  |  default=None
unit  |  character varying  |  nullable=YES  |  default=None  
normal_min  |  double precision  |  nullable=YES  |  default=None
normal_max  |  double precision  |  nullable=YES  |  default=None
price  |  double precision  |  nullable=NO  |  default=None   
is_active  |  boolean  |  nullable=YES  |  default=None       
created_at  |  timestamp with time zone  |  nullable=YES  |  default=now()
updated_at  |  timestamp with time zone  |  nullable=YES  |  default=None

=== lab_orders ===
id  |  integer  |  nullable=NO  |  default=nextval('lab_orders_id_seq'::regclass)
encounter_id  |  integer  |  nullable=YES  |  default=None    
patient_id  |  integer  |  nullable=YES  |  default=None      
doctor_id  |  integer  |  nullable=YES  |  default=None       
test_code  |  character varying  |  nullable=YES  |  default=None
test_name  |  character varying  |  nullable=YES  |  default=None
sample_type  |  character varying  |  nullable=YES  |  default=None
status  |  character varying  |  nullable=YES  |  default=None
created_at  |  timestamp without time zone  |  nullable=YES  |  default=None

=== lab_results ===
id  |  integer  |  nullable=NO  |  default=nextval('lab_results_id_seq'::regclass)
lab_order_id  |  integer  |  nullable=YES  |  default=None    
result_value  |  character varying  |  nullable=YES  |  default=None
notes  |  text  |  nullable=YES  |  default=None
pdf_url  |  character varying  |  nullable=YES  |  default=None
created_at  |  timestamp without time zone  |  nullable=YES  |  default=None
file_key  |  character varying  |  nullable=YES  |  default=None

=== medications ===
created_at  |  timestamp without time zone  |  nullable=YES  |  default=None
updated_at  |  timestamp without time zone  |  nullable=YES  |  default=None
id  |  integer  |  nullable=NO  |  default=nextval('medications_id_seq'::regclass)
patient_id  |  integer  |  nullable=NO  |  default=None       
doctor_id  |  integer  |  nullable=YES  |  default=None       
appointment_id  |  integer  |  nullable=YES  |  default=None  
encounter_id  |  integer  |  nullable=YES  |  default=None
medication_name  |  character varying  |  nullable=NO  |  default=None
dosage  |  character varying  |  nullable=NO  |  default=None 
frequency  |  character varying  |  nullable=NO  |  default=None
route  |  character varying  |  nullable=YES  |  default=None 
start_date  |  date  |  nullable=NO  |  default=None
end_date  |  date  |  nullable=YES  |  default=None
status  |  character varying  |  nullable=YES  |  default=None
notes  |  text  |  nullable=YES  |  default=None
icd_code  |  character varying  |  nullable=YES  |  default=None
ndc_code  |  character varying  |  nullable=YES  |  default=None
assignment_id  |  integer  |  nullable=YES  |  default=None   

=== notifications ===
created_at  |  timestamp without time zone  |  nullable=YES  |  default=None
updated_at  |  timestamp without time zone  |  nullable=YES  |  default=None
id  |  integer  |  nullable=NO  |  default=nextval('notifications_id_seq'::regclass)
user_id  |  integer  |  nullable=NO  |  default=None
title  |  character varying  |  nullable=NO  |  default=None  
desc  |  text  |  nullable=YES  |  default=None
type  |  character varying  |  nullable=NO  |  default=None   
status  |  character varying  |  nullable=YES  |  default=None
data_id  |  character varying  |  nullable=YES  |  default=None

=== password_reset_otps ===
id  |  integer  |  nullable=NO  |  default=nextval('password_reset_otps_id_seq'::regclass)
user_id  |  integer  |  nullable=NO  |  default=None
otp  |  character varying  |  nullable=NO  |  default=None    
expires_at  |  timestamp without time zone  |  nullable=NO  |  default=None
used  |  boolean  |  nullable=YES  |  default=None
created_at  |  timestamp without time zone  |  nullable=YES  |  default=None

=== password_reset_tokens ===
id  |  integer  |  nullable=NO  |  default=nextval('password_reset_tokens_id_seq'::regclass)
email  |  character varying  |  nullable=NO  |  default=None  
otp  |  character varying  |  nullable=NO  |  default=None    
expires_at  |  timestamp without time zone  |  nullable=NO  |  default=None
user_id  |  integer  |  nullable=YES  |  default=None

=== patient_consents ===
created_at  |  timestamp without time zone  |  nullable=YES  |  default=None
updated_at  |  timestamp without time zone  |  nullable=YES  |  default=None
id  |  integer  |  nullable=NO  |  default=nextval('patient_consents_id_seq'::regclass)
patient_id  |  integer  |  nullable=NO  |  default=None       
hipaa  |  boolean  |  nullable=YES  |  default=None
text_messaging  |  boolean  |  nullable=YES  |  default=None  
marketing  |  boolean  |  nullable=YES  |  default=None       
copay  |  boolean  |  nullable=YES  |  default=None
treatment  |  boolean  |  nullable=YES  |  default=None       
financial  |  boolean  |  nullable=YES  |  default=None       
research  |  boolean  |  nullable=YES  |  default=None        

=== patient_doctor_assignment ===
id  |  integer  |  nullable=NO  |  default=nextval('patient_doctor_assignment_id_seq'::regclass)
patient_id  |  integer  |  nullable=NO  |  default=None       
doctor_id  |  integer  |  nullable=NO  |  default=None        
hospital_id  |  integer  |  nullable=NO  |  default=None      
assigned_at  |  timestamp without time zone  |  nullable=YES  |  default=None

=== patient_insurance ===
id  |  integer  |  nullable=NO  |  default=nextval('patient_insurance_id_seq'::regclass)
patient_id  |  integer  |  nullable=NO  |  default=None       
insurance_id  |  integer  |  nullable=NO  |  default=None     
provider_name  |  character varying  |  nullable=NO  |  default=None
plan_name  |  character varying  |  nullable=NO  |  default=None
plan_type  |  character varying  |  nullable=YES  |  default=None
coverage_percent  |  double precision  |  nullable=YES  |  default=None
policy_number  |  character varying  |  nullable=NO  |  default=None
copay_amount  |  double precision  |  nullable=YES  |  default=None
deductible_amount  |  double precision  |  nullable=YES  |  default=None
out_of_pocket_max  |  double precision  |  nullable=YES  |  default=None
effective_date  |  date  |  nullable=NO  |  default=None      
expiry_date  |  date  |  nullable=NO  |  default=None
status  |  character varying  |  nullable=YES  |  default=None
priority  |  character varying  |  nullable=YES  |  default=None
created_at  |  timestamp with time zone  |  nullable=YES  |  default=now()

=== patient_pharmacy_insurance ===
id  |  integer  |  nullable=NO  |  default=nextval('patient_pharmacy_insurance_id_seq'::regclass)
patient_id  |  integer  |  nullable=NO  |  default=None       
pharmacy_insurance_id  |  integer  |  nullable=NO  |  default=None
provider_name  |  character varying  |  nullable=NO  |  default=None
plan_name  |  character varying  |  nullable=NO  |  default=None
policy_number  |  character varying  |  nullable=NO  |  default=None
group_number  |  character varying  |  nullable=YES  |  default=None
formulary_type  |  character varying  |  nullable=YES  |  default=None
prior_auth_required  |  boolean  |  nullable=YES  |  default=None
standard_copay  |  double precision  |  nullable=YES  |  default=None
deductible_amount  |  double precision  |  nullable=YES  |  default=None
effective_date  |  date  |  nullable=NO  |  default=None      
expiry_date  |  date  |  nullable=NO  |  default=None
status  |  character varying  |  nullable=YES  |  default=None
priority  |  character varying  |  nullable=YES  |  default=None
created_at  |  timestamp with time zone  |  nullable=YES  |  default=now()

=== patient_tasks ===
created_at  |  timestamp without time zone  |  nullable=YES  |  default=None
updated_at  |  timestamp without time zone  |  nullable=YES  |  default=None
id  |  integer  |  nullable=NO  |  default=nextval('patient_tasks_id_seq'::regclass)
patient_id  |  integer  |  nullable=NO  |  default=None       
title  |  character varying  |  nullable=NO  |  default=None  
description  |  text  |  nullable=YES  |  default=None        
due_date  |  date  |  nullable=YES  |  default=None
priority  |  character varying  |  nullable=YES  |  default=None
status  |  character varying  |  nullable=YES  |  default=None

=== patients ===
created_at  |  timestamp without time zone  |  nullable=YES  |  default=None
updated_at  |  timestamp without time zone  |  nullable=YES  |  default=None
id  |  integer  |  nullable=NO  |  default=nextval('patients_id_seq'::regclass)
public_id  |  character varying  |  nullable=NO  |  default=None
user_id  |  integer  |  nullable=NO  |  default=None
first_name  |  character varying  |  nullable=YES  |  default=None
last_name  |  character varying  |  nullable=YES  |  default=None
dob  |  date  |  nullable=YES  |  default=None
weight  |  numeric  |  nullable=NO  |  default=None
height  |  numeric  |  nullable=NO  |  default=None
gender  |  character varying  |  nullable=YES  |  default=None
ssn  |  character varying  |  nullable=YES  |  default=None   
phone  |  character varying  |  nullable=YES  |  default=None 
email  |  character varying  |  nullable=YES  |  default=None 
address  |  text  |  nullable=YES  |  default=None
city  |  character varying  |  nullable=YES  |  default=None  
state  |  character varying  |  nullable=YES  |  default=None 
zip_code  |  character varying  |  nullable=YES  |  default=None
country  |  character varying  |  nullable=NO  |  default=None
citizenship_status  |  character varying  |  nullable=YES  |  default=None
visa_type  |  character varying  |  nullable=YES  |  default=None
photo_url  |  character varying  |  nullable=YES  |  default=None
id_proof_document  |  character varying  |  nullable=YES  |  default=None
smoking_status  |  character varying  |  nullable=YES  |  default=None
alcohol_use  |  character varying  |  nullable=YES  |  default=None
diet  |  character varying  |  nullable=YES  |  default=None  
exercise_frequency  |  character varying  |  nullable=YES  |  default=None
marital_status  |  character varying  |  nullable=YES  |  default=None
preferred_contact  |  character varying  |  nullable=YES  |  default='phone'::character varying
has_caregiver  |  boolean  |  nullable=YES  |  default=false  
caregiver_name  |  character varying  |  nullable=YES  |  default=None
caregiver_relationship  |  character varying  |  nullable=YES  |  default=None
caregiver_phone  |  character varying  |  nullable=YES  |  default=None
caregiver_email  |  character varying  |  nullable=YES  |  default=None
insurance_status  |  character varying  |  nullable=YES  |  default=None
is_insured  |  boolean  |  nullable=YES  |  default=None

=== pharmacy_insurance_master ===
id  |  integer  |  nullable=NO  |  default=nextval('pharmacy_insurance_master_id_seq'::regclass)
provider_name  |  character varying  |  nullable=NO  |  default=None
plan_name  |  character varying  |  nullable=NO  |  default=None
group_number  |  character varying  |  nullable=YES  |  default=None
formulary_type  |  character varying  |  nullable=YES  |  default=None
prior_auth_required  |  boolean  |  nullable=YES  |  default=None
standard_copay  |  double precision  |  nullable=YES  |  default=None
deductible_amount  |  double precision  |  nullable=YES  |  default=None
status  |  character varying  |  nullable=YES  |  default=None
created_at  |  timestamp with time zone  |  nullable=YES  |  default=now()

=== treatment_plan_master ===
id  |  integer  |  nullable=NO  |  default=nextval('treatment_plan_master_id_seq'::regclass)
name  |  character varying  |  nullable=NO  |  default=None   
description  |  text  |  nullable=YES  |  default=None        
status  |  character varying  |  nullable=YES  |  default=None
created_at  |  timestamp with time zone  |  nullable=YES  |  default=now()

=== users ===
created_at  |  timestamp without time zone  |  nullable=YES  |  default=None
updated_at  |  timestamp without time zone  |  nullable=YES  |  default=None
id  |  integer  |  nullable=NO  |  default=nextval('users_id_seq'::regclass)
email  |  character varying  |  nullable=NO  |  default=None  
hashed_password  |  character varying  |  nullable=NO  |  default=None
full_name  |  character varying  |  nullable=YES  |  default=None
role  |  character varying  |  nullable=NO  |  default=None   
hospital_id  |  integer  |  nullable=YES  |  default=None     
is_active  |  boolean  |  nullable=YES  |  default=None       

=== vitals ===
created_at  |  timestamp without time zone  |  nullable=YES  |  default=None
updated_at  |  timestamp without time zone  |  nullable=YES  |  default=None
id  |  integer  |  nullable=NO  |  default=nextval('vitals_id_seq'::regclass)
patient_id  |  integer  |  nullable=NO  |  default=None       
appointment_id  |  integer  |  nullable=YES  |  default=None  
encounter_id  |  integer  |  nullable=YES  |  default=None    
height  |  numeric  |  nullable=YES  |  default=None
ult=None
heart_rate  |  integer  |  nullable=YES  |  default=None
temperature  |  numeric  |  nullable=YES  |  default=None
respiration_rate  |  integer  |  nullable=YES  |  default=None
oxygen_saturation  |  integer  |  nullable=YES  |  default=None
recorded_at  |  timestamp without time zone  |  nullable=YES  |  default=None  
